gameId,attendance
42200405,19537
42200404,20184
42200403,20019
42200402,19537
42200401,19528
42200307,19156
42200306,20201
42200305,19156
42200304,20147
42200314,18997
42200303,20088
42200313,18997
42200302,19156
42200312,19742
42200301,19156
42200311,19633
42200217,19156
42200236,18997
42200206,19737
42200226,17071
42200216,21337
42200235,18064
42200205,19812
42200225,19773
42200215,19156
42200234,18997
42200204,19769
42200224,17071
42200214,21264
42200233,18997
42200203,19927
42200223,17071
42200213,21290
42200232,18064
42200212,19156
42200231,18064
42200202,19812
42200222,19592
42200167,18253
42200201,19812
42200221,19762
42200156,18997
42200166,18064
42200116,19176
42200165,18253
42200105,18113
42200155,18117
42200135,19432
42200175,17071
42200145,19691
42200115,19156
42200154,18997
42200104,19614
42200144,18978
42200114,19144
42200164,18064
42200134,19812
42200153,18997
42200103,19734
42200174,19068
42200124,18037
42200143,19536
42200133,19812
42200113,18536
42200173,19068
42200123,17910
42200142,19683
42200152,17928
42200172,17071
42200132,19432
42200112,19156
42200162,18253
42200122,20958
42200141,19628
42200171,17071
42200151,18487
42200121,20913
22201224,20141
22201225,18978
22201226,16601
22201227,19652
22201228,18997
22201229,17071
22201230,19731
22201216,19156
22201217,17732
22201218,19432
22201219,19894
22201220,19812
22201221,19800
22201222,15233
22201223,21530
22201214,16148
22201215,19068
22201213,18206
22201212,18997
22201211,18253
22201210,20313
22201208,18010
22201209,18656
22201205,17627
22201206,19156
22201207,18177
22201202,19102
22201203,17274
22201201,17071
22201200,18206
22201199,16023
22201198,21178
22201196,19068
22201195,20271
22201194,17232
22201191,17727
22201193,17679
22201189,18313
22201190,16789
22201187,18064
22201188,17071
22201181,21104
22201183,16924
22201184,17558
22201185,15799
22201176,14965
22201177,18453
22201178,19449
22201179,19098
22201175,19752
22201173,19432
22201174,17532
22201172,17981
22201168,19812
22201169,19431
22201170,18183
22201164,17732
22201165,20944
22201166,18978
22201163,16052
22201162,18399
22201161,20011
22201160,17071
22201158,18064
22201159,18389
22201155,15844
22201156,16376
22201157,18978
22201152,19156
22201153,17849
22201154,19432
22201148,18768
22201149,16506
22201150,20993
22201151,16411
22201147,19728
22201146,18073
22201144,17071
22201145,18550
22201140,21739
22201141,16775
22201142,15047
22201143,18354
22201137,17074
22201138,19812
22201139,20583
22201136,16524
22201135,18064
22201133,16507
22201134,15428
22201131,17748
22201132,19800
22201130,20476
22201129,19068
22201127,17943
22201128,18151
22201126,19781
22201124,19812
22201122,21090
22201123,17022
22201121,18064
22201120,18626
22201115,18056
22201116,19156
22201117,19432
22201118,17862
22201119,19800
22201114,18997
22201113,19264
22201112,17702
22201110,17071
22201111,18151
22201107,17699
22201106,18997
22201103,18064
22201104,19393
22201105,18151
22201102,18206
22201101,20347
22201100,17851
22201099,19800
22201097,19156
22201098,17004
22201096,17307
22201095,15749
22201094,17732
22201093,17607
22201092,18435
22201089,17756
22201090,17136
22201085,19800
22201086,20377
22201083,16508
22201082,19068
22201081,18111
22201078,17129
22201077,16096
22201076,18206
22201074,16116
22201075,17794
22201073,19812
22201071,12449
22201072,21145
22201070,18997
22201069,18714
22201068,17341
22201067,14209
22201066,20190
22201063,18235
22201064,17897
22201062,18206
22201059,18529
22201060,20094
22201061,18396
22201057,17274
22201058,19800
22201056,17533
22201055,19812
22201054,18997
22201053,19393
22201050,20109
22201051,15841
22201052,15221
22201049,19432
22201047,19096
22201045,17797
22201043,18172
22201044,19800
22201042,17987
22201041,19068
22201040,18354
22201037,21886
22201038,18055
22201039,17136
22201035,19432
22201036,19794
22201033,17071
22201030,18625
22201032,13708
22201029,19800
22201027,14690
22201028,15279
22201025,18064
22201026,18111
22201021,17799
22201022,19721
22201023,20303
22201020,18313
22201019,18997
22201018,17314
22201016,21220
22201014,19739
22201013,17071
22201011,17606
22201012,18064
22201009,18055
22201010,17794
22201008,17884
22201005,17221
22201006,20190
22201007,17347
22201004,19068
22201003,18322
22201000,19757
22201001,17136
22200998,21001
22200997,18068
22200995,17341
22200996,17794
22200993,16027
22200994,16552
22200991,17397
22200989,19896
22200990,17071
22200986,19156
22200987,19600
22200988,17473
22200985,15087
22200984,18997
22200983,20277
22200982,16142
22200980,17136
22200769,17855
22200978,16110
22200976,17708
22200975,19520
22200974,19600
22200971,19432
22200972,15008
22200977,16989
22200970,19068
22200969,19156
22200973,18746
22200967,16721
22200968,14778
22200965,17921
22200966,18846
22200963,21225
22200964,18997
22200962,20311
22200961,18111
22200960,18100
22200958,19600
22200959,18354
22200957,19432
22200956,18174
22200955,18997
22200952,19641
22200953,18064
22200954,18111
22200949,19600
22200950,21169
22200951,16538
22200947,17521
22200948,19156
22200946,16683
22200945,18064
22200944,14617
22200943,20002
22200942,14643
22200941,18566
22200938,15919
22200939,17354
22200935,19156
22200936,19600
22200937,19812
22200933,19137
22200934,18098
22200931,18064
22200932,17022
22200930,18206
22200929,20277
22200926,15368
22200928,13353
22200923,17395
22200924,17732
22200925,19800
22200927,17794
22200922,16038
22200921,19812
22200919,14184
22200920,20859
22200918,19689
22200917,19215
22200915,15147
22200912,21106
22200913,20411
22200910,17636
22200909,18206
22200908,20993
22200907,18302
22200906,19812
22200904,19109
22200905,19231
22200903,20190
22200899,17071
22200901,18064
22200898,17136
22200900,21286
22200896,18065
22200897,17676
22200895,20476
22200894,18041
22200892,18206
22200891,20287
22200889,21205
22200890,19800
22200886,19432
22200887,16125
22200885,17071
22200884,17136
22200883,20308
22200882,18997
22200881,19627
22200879,16748
22200880,14988
22200875,21134
22200876,17771
22200877,19156
22200878,17963
22200873,14155
22200874,15599
22200871,16741
22200872,18004
22200870,17071
22200868,19800
22200869,17623
22200866,18064
22200865,20325
22200863,20767
22200864,14920
22200861,19755
22200857,14078
22200858,19432
22200859,15004
22200860,19850
22200856,19800
22200855,19156
22200854,18111
22200853,18064
22200852,19432
22200850,17875
22200851,19339
22200847,19256
22200848,18223
22200849,18387
22200846,17732
22200845,16614
22200843,19424
22200844,18111
22200840,19600
22200841,17794
22200839,19800
22200836,16522
22200837,21057
22200832,17003
22200833,16938
22200831,18846
22200829,18377
22200830,18450
22200828,18206
22200827,15881
22200824,19156
22200825,19600
22200826,19800
22200822,19432
22200823,16097
22200821,18997
22200820,18307
22200819,17012
22200818,16669
22200814,18064
22200815,18110
22200813,18206
22200811,19291
22200810,16981
22200808,17933
22200809,16744
22200806,17136
22200807,17779
22200804,17586
22200805,17794
22200803,17274
22200802,18510
22200800,18064
22200796,20135
22200797,18008
22200794,19788
22200795,19812
22200793,17732
22200798,18886
22200792,18206
22200789,16585
22200790,17136
22200788,19156
22200786,17274
22200787,20476
22200783,19555
22200782,19670
22200781,20072
22200780,19044
22200778,17274
22200777,17071
22200776,18206
22200773,15181
22200774,17136
22200775,13207
22200772,19156
22200770,20885
22200771,14589
22200768,18868
22200766,20068
22200767,17341
22200765,19812
22200764,19432
22200763,18262
22200762,17071
22200761,19777
22200758,15342
22200759,16854
22200760,11970
22200757,17924
22200756,19812
22200755,17341
22200754,19432
22200753,17794
22200752,19254
22200751,19393
22200750,18206
22200749,19156
22200746,17136
22200747,17692
22200748,18354
22200745,18448
22200743,19411
22200744,18846
22200742,18100
22200741,21255
22200740,18064
22200738,19788
22200739,16236
22200737,17136
22200736,16090
22200735,16958
22200734,17071
22200730,19156
22200731,17732
22200732,17697
22200729,17955
22200726,18064
22200727,18154
22200728,17767
22200722,15302
22200724,14887
22200725,15079
22200721,19772
22200720,18846
22200719,17604
22200718,17071
22200717,20077
22200716,14699
22200714,19705
22200715,19812
22200713,16102
22200712,17821
22200711,17874
22200710,18206
22200708,20938
22200709,13811
22200706,18011
22200707,19196
22200705,19393
22200704,18064
22200702,19557
22200703,17071
22200700,19261
22200699,19600
22200701,20026
22200698,17861
22200697,17071
22200696,17136
22200694,17928
22200693,18171
22200692,19800
22200691,17932
22200688,19609
22200689,18206
22200687,15190
22200684,17711
22200685,19432
22200686,20326
